肺泡蛋白质沉积症,约40%
高睾酮血症,80%(一般系统治疗后80%可以痊愈)
腱病,70%
新生儿出血症,85%
肩胛颈及肩胛盂骨折,80%
低氯性碱中毒,78%
浆细胞白血病,骨髓移植成功率约为80%
肩胛上神经卡压症,60%
新生儿单纯疱疹病毒感染,60%
浆细胞性唇炎,60%
新生儿低钠血症,95%
肩袖间隙分裂,70%
病理性近视,
新生儿低体温,80%
肩袖损伤,70%
胶样粟丘疹,40%
新生儿低血糖症,95%
角膜基质炎,75%-85%
溶血性黄疸,80%
睑球粘连,外科手术治愈率约为85%
珍珠丘疹,治愈率80%
新生儿反应低下,60%
结缔组织痣,90%
腱鞘巨细胞瘤,40%
运动性闭经,75%
结节性甲状腺肿,70%
新生儿高血糖症,98%
腱鞘囊肿,80%
增殖体肥大,70%
进行性核上性麻痹,30%
交叉性异位肾,25%
新生儿佝偻病,80%
强迫型人格障碍,80%
晶状体蛋白过敏性青光眼,70%
交感神经链综合征,65%
新生儿寒冷损伤综合征,98%
冲动型人格障碍,60%
胶质母细胞瘤,5%
新生儿红细胞增多症-高黏滞度综合征,50%
精索恶性肿瘤,30%
细菌性心内膜炎,60%
角层下脓疱性皮肤病,40%
颈部火器性异物,80%
新生儿喉喘鸣,90%
完全流产,70%
角化棘皮瘤,35%
颈淋巴结结核,90%
新生儿坏死性小肠结肠炎,外科手术治疗治愈率60-70%
风湿性血管炎,70%
角膜鳞状细胞癌,20%
颈椎半椎体畸形,60%
新生儿急性肾功能衰竭,40-60%
鼻前庭囊肿,60%
脚癣,80%
新生儿柯萨奇病毒B感染,60%
化学性支气管炎,70%
颈椎间盘突出症,70%
接触性唇炎,50-60%
新生儿泌尿系统感染,98%
盲肠阿米巴肉芽肿,80%
颈椎椎管狭窄症,87.3%
节段性透明性血管炎,78%
新生儿尿布皮炎,99.9%
胫骨平台骨折,93%
Asperger综合征,治愈率80%
洁癖,60%
新生儿破伤风,70%
胫前黏液水肿,80%
结肠类癌,40%
传导性耳鸣,80%
静脉曲张综合征,60%-80%
结肠破裂,85%
新生儿迁延性胆汁淤积性黄疸,65%
局限性胸膜间皮瘤,60%
血管痣,95%
结肠血管畸形,65%
新生儿青紫,90%
病理性神经损伤,40%
巨细胞病毒性肺炎,70%
结肠血管扩张症,40%
锥体外系损害,50%
咽喉炎,95%
结核性巩膜炎,60%
Kartagener综合征,40%
新生儿生理性黄疸,98%
结核性脊髓炎,85%
开放性气胸,80%
氨基酸尿症,40%
结核性角膜病变,85%
埃博拉病毒病,20%-50%
新生儿失血性贫血,80%
烟草依赖综合症,10%
结核性胸膜炎,95%
堪萨斯分枝杆菌感染,50-60%
新生儿头颅血肿,90%
下呼吸道感染,95%
结核性阴道炎,80%
新生儿晚期代谢性酸中毒,75%-90%
阴道囊肿,95%
结节性脆发病,70%
口周皮炎,95%
新生儿胃穿孔,60%
结节性多动脉炎性巩膜炎,未给予细胞毒性免疫抑制剂的PAN患者，尽管进行了其他治疗措施，其5年病死率仍为87%。
库鲁病,0%
新生儿先天性胆道闭锁,85%
结节性筋膜炎,45%-65%
髋臼骨折,80%
新生儿先天性膈疝,60%
结节性血管炎,50%
包涵囊肿,90%
眶内海绵状血管瘤,80%
胚胎遗留性囊肿,95%
结节性痒疹,对症治疗为主，根治患者占30-40%
新生儿先天性弓形体感染,30%
溃疡分枝杆菌感染,74%
结节性脂肪坏死,65%
新生儿消化道重复症,外科手术治愈率约为60-80%
外阴包涵囊肿,90%
结直肠血管瘤,40%
新生儿心肌炎,60%
莱姆病性巩膜炎,65%
阴道良性肿瘤,90%
睫状环阻滞性青光眼,70%
新生儿心律失常,20%
阴道肿瘤,99%
老年期抑郁症,80%
睫状体黑色素瘤,外科手术治愈率约为75%
老年性昏迷,50%
新生儿休克,99%
生理性卵巢囊肿,98%
老人腹股沟斜疝,外科手术治愈率约75%
戒酒综合征,60%
新生儿血小板减少性紫癜,95%
良性肿瘤,90%(外科手术治疗)
金黄色葡萄球菌性边缘性角膜炎,85%
新生儿咽下综合征,99.99%
金属性变色,65%
新生儿衣原体感染,90%
睡眠相位后移综合症,10%
泪囊炎,90%
金属引起的口腔黏膜疾病,45%-65%
新生儿乙型肝炎,85%
阴虚,75%-85%
泪腺肉样瘤病,30%
新生儿紫癜,85%
里尔黑变病,20%
筋膜间隔区综合征,外科手术治愈率约为60-70%
恐惧症,85%
新生血管性青光眼,40%
立克次体痘,65%
胃肠疾病,70%
近视,95%(一般经过矫正后，95%患者视力得以纠正)
利斯特菌脑膜炎,70%
卵巢病,根据不同疾病治愈率不同
进行性骨干发育不良,0.5%
新型隐球菌性脑膜炎,预后差，死亡率高
门静脉高压,60%
外生殖器畸形,60%
进行性肌营养不良症,60%
星形病毒胃肠炎,80-90%
镰状细胞贫血,95%
恋童癖,60%-70%
行军性血红蛋白尿,85%
进行性色素性紫癜性皮病,75%
眼结石,90%
性病神经症,65%
进行性脂肪营养不良,不足30%
链杆菌病,78%
接触性荨麻疹,99%
性病相关性胃肠道感染,80%
良性淋巴上皮病,50%
寒性荨麻疹,98%
浸渍足,40%
性厌恶,70%
颅底凹陷症,70%
经膈肌肋间疝,70%
胸、腰椎椎体单纯性、楔形压缩骨折,80%
颅骨骨折,90%
慢性荨麻疹,98%
晶状体膨胀所致青光眼,70%
胸壁骨肿瘤,50%～70%
颅骨纤维异常增生症,60%
胸壁皮下气肿,90%
肠道传染病,45%
颅内低压综合征,50%
晶状体溶解性青光眼,65%
胸壁软组织畸形,30--50%
肠伤寒,80%
颅内高压综合征,30%
晶状体脱位所致青光眼,40%(手术治疗)
胸壁软组织损伤,80%-90%
甲型副伤寒,60%
颅中窝脑膜瘤,65%
晶状体相关葡萄膜炎,30%
胸壁软组织肿瘤,70--90%
沙门氏菌性肠炎,90%
旅行者腹泻,98%
晶状体异位,50%
胸壁深部软组织感染,80%
Marie-Bamberger综合征,45%-65%
精囊恶性肿瘤,正规综合三甲医院的典型病例治愈率60%
人工性荨麻疹,可自愈
胸部阿米巴病,70%
麻痹性肠梗阻,80%
血清性荨麻疹,90%
精囊结石,46%
胸部放线菌病,70%
麻风,30-50%，多遗留有骨骼发育畸形等后遗症
胸部丝虫病,80%
沙门氏菌性肺炎,治愈率97%
精囊囊肿,75%
麦收皮炎,99.9%
胸长神经卡压症,70%
胆碱能性荨麻疹,98%
脉络膜缺血,30-50%
颈部脊髓损伤,30%
胸导管损伤,70%
急性荨麻疹,100%
颈部开放性损伤,80%
胸腹主动脉动脉瘤,外科手术治愈率约为65%
侵袭性大肠埃希氏菌肠炎,95%
颈部勒伤,50%
干酪性鼻窦炎,70%
颈部血管瘤,治愈率79.5%
脉络膜转移癌,65%
胸骨骨髓炎,30--60%
阿米巴病肠穿孔,75%
颈部血管损伤,手术治愈率约60%
慢性化脓性胸膜炎,80%
胸内肾,85%
慢性阿米巴病肠炎,99.5%
颈丛神经卡压症,70%
慢性进行性眼外肌麻痹,55%-65%
胸内异物,60%
颈动脉创伤性栓塞,40%
嗜水气单胞菌肠炎,0.01%-0.15%
颈动脉窦综合征,控制症状为主，约有40%可以治愈
新生儿出血性大肠杆菌肠炎,80%
颈动脉海绵窦瘘,外科手术治愈率约为50-60%
胸腺癌,46%
慢性乳头状溃疡性脓皮病,30%
新生儿侵袭性大肠杆菌肠炎,80%
慢性硬脑膜下血肿,60-70%
颈动脉狭窄,80%
慢性阿米巴性痢疾,99.5%
慢性自律性房性心动过速,80%
胸腺类癌,50%
颈静脉球瘤,经过系统治疗后，本病都80%以上都是系统康复
呼吸道结核病,80%
毛发腺瘤,75%
胸腺小细胞癌,60%
颈肋,85%
细菌性结肠炎,95%以上
门静脉海绵样变,70%
胸椎后纵韧带骨化症,外科手术治愈率约为55%
颈肋畸形,20%
迷走神经损伤,60%
结核性干性胸膜炎,90%
胸椎黄韧带骨化症,80%
颈神经背支卡压症,80%
胸椎间盘突出症,20%，有8%～35%的患者1～4年复发
颈型颈椎病,50%
面肌瘫痪,91.2%
急性阿米巴痢疾,99.5%
须疮,95%
颈腰综合征,85%
面瘫,20%
须癣,60%
颈椎骨折伴脱位的损伤,40%
埃及血吸虫病,75%
产气杆菌肠炎,90%
嗅沟脑膜瘤,65%(外科手术治疗)
颈椎椎体楔形压缩骨折,50%
副霍乱,10%
拇指掌指关节尺侧侧副韧带损伤,70%
嗅觉障碍,60%
胫骨后唇骨折,60%
空洞型肺结核,60%
眩晕,95%
内生性软骨瘤,80%
鼻结核,90%
内脏动脉慢性闭塞,65%-75%
学习技能发育障碍,50-70%
胫骨应力骨折,治愈率95%
奈瑟卡他球菌肺炎,90%以上
浸润型肺结核,96%
血管角化瘤,89%
胫骨远端爆裂骨折,40%
胫后神经损伤,75%
血管球瘤,98%
肠道厌氧菌感染,99%
痉挛性肠梗阻,治愈率86%
血管损伤,80%
肺结核瘤,30%
男性乳腺癌,50%
痉挛性脑瘫,无法治愈，需终身治疗
肺门淋巴结核,60%
男性生殖系结核,60%
静脉血栓形成,60%
副溶血孤菌肠炎,99%
血管性痴呆,70%（及时治疗，多数患者可获得缓解）
静脉炎,经过治疗有效治愈率在70%能够治愈
血管性帕金森综合征,血管性帕金森综合征病程呈阶梯状进展，目前无根治方法
男性特纳综合征,10%
肺原发性结核性复征,60%
酒精性弱视,40%
血管炎性周围神经病,40%，多以对症治疗为主
男子乳腺发育,85%
坏死性肠炎,80%-95%
酒精中毒性神经疾病,戒酒后可有60%病人治愈
脑室内脑膜瘤,45%-65%
金黄色葡萄球菌性肠炎,99%
血管周细胞瘤,50%
酒中毒性痴呆,40%
脑外伤伴发的精神障碍,10%
血红蛋白C病,70%
酒中毒性小脑变性,60%
年龄相关性白内障,65%
排卵期出血,99.5%
血红蛋白D病,60%
酒中毒性周围神经病,60%
尿道癌,50%
难辨芽胞杆菌肠炎,99.5%
血红蛋白E病,50%
局限性硬皮病,60%
镍及其化合物引起的皮肤病,50-70%
盆腔充血综合征,99.9%
局灶性节段性肾小球硬化,45%-65%
血红蛋白M病,50%
牛带绦虫病,80%
混合痣,99%
血栓性静脉炎,75%
巨大裂孔性视网膜脱离,30%
脓毒性休克,80%
肌膜炎,80%
血栓性浅静脉炎,70%
脓疱性细菌疹,40%
巨大胎儿,90%
贲门炎,95%
血小板促凝活性异常,尚无可靠的统计资料
诺瓦克病毒性胃肠炎,50%
巨大血小板病,74%
血小板减少性紫癜,80%
膀胱尿道异物,95%
巨乳头性结膜炎,50%-80%
膀胱腺癌,手术治疗80%治愈
急性肺炎,99%
巨舌,60%
血小板型假性血管性血友病,10%
反应性关节炎,80%
继发性肺结核,80%
血友病乙,70%（有替代治疗保证的患者可达到正常人相同的寿命）
疱疹样脓疱病,治愈率84%
巨吻棘头虫病,85%
巨细胞病毒病,70%
皮肤平滑肌瘤,80%
甲醛中毒,80%
寻常痤疮,60%
皮炎芽生菌,60%
巨细胞病毒性葡萄膜炎,60-80%%
良性脑瘤,80%
巨细胞动脉炎性巩膜炎,75%
鼻后滴漏综合症,95%
寻常狼疮,40%
皮脂囊肿病,89%
绝经,10%
鼻腔癌,12%
寻常性鱼鳞病,50%
皮脂腺上皮瘤,90%
绝经后骨质疏松,60%
鼻腔囊肿,95%
脾脏原发性恶性肿瘤,60-70%
绝经后卵巢恶性肿瘤,70%左右
寻常疣,治愈率85.2%
偏执状态,60%
绝经后子宫颈癌,70%
慢性鼻咽炎,80%
蕈样真菌病,60%
平滑肌错构瘤,85%
匍行性血管瘤,80%
慢性非萎缩性胃炎,80%
绝经期关节炎,70%
蕈样真菌病和Sezary综合征,40%
葡萄球菌肺炎,80%
脱髓鞘,75%
绝经期尿路感染,89%
幼年型关节强硬性脊椎炎,迁延不愈
气虚血瘀证,96%
绝经期尿失禁,70%
支气管发育不全,正规三甲医院治愈率约为60%
葡萄球菌性食物中毒,96%
耳石症,95%
葡萄球菌中毒性休克综合征,85%
外阴鳞状上皮细胞增生,95%
绝经期盆腔脏器脱垂,70%
Q热肺炎,80%
绝经期乳腺癌,35%(外科手术治疗)
结节性液化性脂膜炎,80%
脐尿管瘘,40%
绝经与阿尔茨海默病综合征,10%
气虚自汗,90%
脐膨出,85%
绝经与心血管疾病,60%
压力性尿失禁,70%
萎缩性胆囊炎,60%
脐膨出-巨舌-巨体综合征,30%
绝经与抑郁症,60%
亚急性联合变性,70%
肝脾湿热,80%
髂腹股沟神经干痛,60%
军刀综合征,65%-75%
亚急性皮肤红斑狼疮,需要终身治疗，目前不能治愈
前房积血与青光眼,80%-90%
侵袭性指趾乳头状腺癌,30%
神经棘红细胞增多症,病程7～24年，存活最长者达33年。
前庭神经元炎,90%
亚急性硬化性全脑炎,无有效治疗方法
萎缩侧索硬化,65%
亚急性硬膜外血肿,手术治疗，越早发现治愈率95%。晚期发现，容易并发脑疝而危及生命，治愈率50-60%。
轻链病与轻链沉积病,60%
Kimura病,30%
亚临床甲状腺功能减退症,60%
嵌杯样病毒胃肠炎,45%
下焦湿热,80%
骶髂关节扭伤或半脱位,85%(手术复位治疗)
亚临床甲状腺功能亢进,80%
强直性脊柱炎及其伴发的葡萄膜炎,80%
气阴两虚,95%
卡普兰综合征,40-50%
亚临床型克汀病,80%
切口疝,95%
滑膜囊肿,75%
烟雾病,60-70%
卡氏肺孢子虫肺炎,未见相关统计资料，根据患者一般情况及基础疾病、治疗是否及时等不同而不同
青霉病,30%
延髓性麻痹,73%
卡氏肺囊虫病,80%
胃肠湿热,90%
大汗腺癌,50-70%
卡他莫拉菌感染,病死率高达21%。
外阴上皮内瘤样病变,80%
严重肝病引起获得性凝血因子异常,10%
球形肺炎,89%
胃柿石,70%
屈光参差,外科手术治愈率约为40-60%
严重急性呼吸综合征,10%
康诺尔立克次体斑疹热,本病预后较好，早期治疗治愈率达100%。
膝关节骨刺,80%
躯体感觉障碍,60%
言语障碍,75%
糠秕孢子菌毛囊炎,70%
肝气不舒,70%
岩骨斜坡脑膜瘤,70%
躯体形式障碍,50%
抗活化的蛋白C症,无法根治，对症治疗为主
醛固酮缺乏症,20%
黄疸性肝炎,终身对症治疗
岩藻糖苷贮积症,控制症状为主，无法根治
抗菌药中毒性肾病,70%
纤维化综合征,30%
反流性喉炎,90%
抗利尿激素分泌异常综合征,75-85%，多以控制症状为主
炎性肠病性关节炎相关巩膜炎,75%
Rh血型不合,30%
蛋白质缺乏症,90%
炎性乳腺癌,外科手术治愈率约为65%
抗磷脂抗体综合征,50%
人工关节置换术后关节感染,70%
炎症后弹力纤维松解伴皮肤松弛,30%
肛门息肉,80%
抗体免疫缺陷病,30%
人乳头瘤病毒感染,60%
儿童白斑,70%
抗胰蛋白酶缺乏症,30%
融合性网状乳头瘤病,30-40%
肺癌骨转移,80%
考登病中的多发性毛鞘瘤,55%
炎症后黑变病,80%
膝关节退行性病变,80%
柯莱斯骨折,90%
炎症相关性青光眼,55%
炎症性肠道疾病及其伴发的葡萄膜炎,40%
滴虫性包皮龟头炎,93%
炎症性腹主动脉瘤,70%
柯萨奇病毒感染,85%
乳房猪囊尾蚴病,40%-50%
盐敏感性高血压,80%
乳糜腹,65%-75%
眼部神经纤维瘤病,手术成功率低，预后不良。
科干综合征,75%
乳头皲裂,95%
科罗拉多蜱热,90%
眼部猪囊尾蚴病,60%
化脓性扁桃体炎,95%
乳头状小汗腺腺瘤,95%
颗粒细胞瘤,40%
眼底血管样条纹,75%
肺癌脑转移,80%
乳腺湿疹样癌,70%
咳嗽性哮喘,40-60%，多以控制性治疗为主
眼弓蛔虫病,80%
黄体萎缩不全,70%
乳腺脂肪肉瘤,55%
咳嗽晕厥综合征,75%
眼弓形体病,60%
黄体血肿,85%
克里格勒-纳贾尔综合征,70%
眼肌麻痹性偏头痛,60%
乳溢-闭经综合征,85%
子宫纵隔,70%
肺部真菌感染,80%
眼假组织胞质菌病综合征,40%--50%
克里米亚-刚果出血热,30--50%
眼睑基底细胞癌,30%
甲状腺肿瘤,30%-70%
弱智,10%
克罗伊茨费尔特-雅各布病,90%发病后1年死亡
头部脂溢性皮炎,90%
Ⅳ型肾小管性酸中毒,75%
空鞍综合征,55%
许莫氏结节,70%
鳃裂囊肿和瘘管,70%
眼睑痉挛-口下颏部肌张力障碍,60%
色素沉着绒毛结节性滑膜炎,30%
空肠、回肠憩室,75%
前列腺病,依据病情和个人体质，治愈率不等
眼眶淀粉样变性,80%
空肠弯曲菌肠炎,80%
色素失调症,60%
间歇性精神病,14.3%
眼眶非霍奇金恶性淋巴瘤,40%
上颈椎不稳症,50%
空气栓塞,80%
上皮样血管内皮细胞瘤,40-55%
眼眶非霍奇金恶性淋巴肿瘤,外科手术治愈率约为45%
上肢深静脉血栓形成,30%-70%
眼眶蜂窝织炎,89.7%
口腔黏膜白斑,30-50%，少部分可恶变
血稠,90%
眼眶骨化纤维瘤,80%
血毒,30%
少枝胶质细胞瘤及间变少枝胶质细胞瘤,60%
口形红细胞增多症,40%
眼眶骨瘤,80%(外科手术治疗)
舌下神经损伤,60%
眼眶骨纤维异常增殖症,70%
髋关节后脱位,外科手术复位成功率约为85%
血管性头痛,70%
眼眶畸胎瘤,经过手术治疗后能够98%痊愈
舌咽神经损伤,20-40%主要以营养神经等对症治疗为主
眶骨髓炎,85%
肺结节,90%
眼眶寄生虫囊肿,85%
社会获得性肺炎,99%
浆膜下肌瘤,99%
眶内纤维组织细胞瘤,一般经过系统治疗后90%都能痊愈
眼眶淋巴管瘤,40%
风湿免疫病,80%
眼眶内海绵状血管瘤,外科手术治愈率约为65%-75%
溃疡病穿孔,98%
砷化氢引起的溶血性贫血,70%(一般本病经过治愈后70%可以缓解)
血瘀体质,70%
溃疡坏死性口炎,90%
神经莱姆病,40%
结肠腺癌,30%-50%
眼眶内静脉曲张,85%
溃疡性皮肤结核,60%
混合型阴道炎,80%
神经肽性肢端感觉异常,对症治疗为主，根治率约65%
眼眶脑膜-脑膨出,30%
神经系统副肿瘤综合征,60%
腰椎结核,30%
眼眶黏液囊肿,40%
神经纤维瘤病,手术治疗90%治愈率
子宫囊肿,60%-70%
眼眶脓肿,经过系统治疗一般治愈率在95%左右
扩张孔,85%
神经性肌强直,40%
眼眶皮样囊肿,96%
纳氏囊肿,80%
橄榄体脑桥小脑萎缩,40%
神经源性角膜炎,60%
眼眶平滑肌瘤,80%
浸润性乳腺癌,14.5%
骨淋巴管瘤,60%
眼眶神经纤维瘤,80%
肾皮质化脓性感染,85%
拉福拉病,
眼眶嗜酸性肉芽肿,40%
肾盏憩室,75%
解脲支原体感染,95%(经过消炎治疗一般95%以上都能有效治愈)
眼眶纤维肉瘤,40-50%
生长期脱发,85%
脑囊肿,86%
眼眶血管外皮瘤,外科手术治愈率约为70%
石棉肺,40%
拉沙热,60%
脑神经损伤,60%
食管源性胸痛,85%
拉休尤-格拉哈姆-利特尔综合征,45%-55%
眼眶血肿,85%-95%
乙状结肠癌,10%
眼眶炎性假瘤,60%
内湿,80%
视神经脊髓炎,35%
眼眶真菌病,60%
桡骨骨折,98%
室管膜肿瘤,75%-85%
蜡样芽孢杆菌食物中毒,治愈率93.4%
眼眶脂肪瘤,99%
嗜酸粒细胞增多症,60%
早孕,95%
眼眶脂肪肉瘤,手术治愈率约90%
莱姆心脏炎,70%
嗜酸性粒细胞白血病,15%
阴茎淋巴管炎,60%
莱特雷尔-西韦病,25%
眼眶转移性肿瘤,五年生存率35%
嗜血流感杆菌的皮肤感染,50%
嗜血细胞综合症,60—70%
眼类肉瘤病,10--20%
赖利-戴综合征,10%
手部屈指肌腱损伤,80%
眼颧部褐蓝痣,手术治愈率约40-55%
阴茎珍珠疹,60%
手指屈肌腱鞘炎,60%--80%
眼外肌病及弱视,80%
疣状胃炎,60%
书写痉挛,60%
