肺泡蛋白质沉积症,约3个月
颈肋畸形,3-6个月
迷走神经损伤,10-30天
结核性干性胸膜炎,3-6月
胸椎黄韧带骨化症,2-4月
颈神经背支卡压症,1-3月
胸椎间盘突出症,1-2年
颈型颈椎病,3-6个月
面肌瘫痪,21天
急性阿米巴痢疾,2周左右
须疮,2周
颈腰综合征,1-3个月
面瘫,14-30天
须癣,4-6周
颈椎骨折伴脱位的损伤,2-3个月
埃及血吸虫病,3个月
产气杆菌肠炎,2-6周
嗅沟脑膜瘤,4-6周
颈椎椎体楔形压缩骨折,1-3个月
副霍乱,1-7天
拇指掌指关节尺侧侧副韧带损伤,1-3个月
嗅觉障碍,7-10天（持久性嗅觉丧需长期治疗）
胫骨后唇骨折,1-3个月
空洞型肺结核,3-6个月
眩晕,3-6个月
内生性软骨瘤,4-6周
鼻结核,12个月以上
内脏动脉慢性闭塞,1-3个月
学习技能发育障碍,5-8年
胫骨应力骨折,3个月
奈瑟卡他球菌肺炎,2周
浸润型肺结核,至少6个月
血管角化瘤,15-30天
胫骨远端爆裂骨折,1-2个月
胫后神经损伤,10-30天
血管球瘤,2-4周
肠道厌氧菌感染,2-6周
痉挛性肠梗阻,手术治疗周期7天
血管损伤,2-4周
肺结核瘤,12个月
男性乳腺癌,1-2个月
痉挛性脑瘫,需要终身治疗
肺门淋巴结核,1-2个月
男性生殖系结核,手术治疗3个月，需长期治疗结核病
静脉血栓形成,2-4周
副溶血孤菌肠炎,2-6周
血管性痴呆,3个月
静脉炎,一般治疗需要30-60天周期
血管性帕金森综合征,1-3个月
男性特纳综合征,终身治疗
肺原发性结核性复征,3-6个月
酒精性弱视,3个月
血管炎性周围神经病,3-6个月
男子乳腺发育,4-6个月
坏死性肠炎,2-6周
酒精中毒性神经疾病,3年
脑室内脑膜瘤,3-6个月
金黄色葡萄球菌性肠炎,2-6周
血管周细胞瘤,30-60天
酒中毒性痴呆,3个月到数年
脑外伤伴发的精神障碍,30天
血红蛋白C病,3-6个月
酒中毒性小脑变性,3-5年
年龄相关性白内障,2-4周
排卵期出血,2-6周
血红蛋白D病,无需治疗
酒中毒性周围神经病,1年
尿道癌,1年
难辨芽胞杆菌肠炎,2-6周
血红蛋白E病,2-4个月
局限性硬皮病,3个月
镍及其化合物引起的皮肤病,3-6个月
盆腔充血综合征,2周左右
局灶性节段性肾小球硬化,3-6个月
血红蛋白M病,6-12个月
牛带绦虫病,3-7周
混合痣,5-7天
血栓性静脉炎,3-6个月
巨大裂孔性视网膜脱离,1-3个月
脓毒性休克,1-3个月
肌膜炎,1-2个月
血栓性浅静脉炎,10-30天
脓疱性细菌疹,1个月
巨大胎儿,1-2月
贲门炎,一周
血小板促凝活性异常,2-5月
诺瓦克病毒性胃肠炎,3个月
巨大血小板病,1-3个月
血小板减少性紫癜,30天
膀胱尿道异物,2--5天
巨乳头性结膜炎,1-3个月
膀胱腺癌,1-3月
急性肺炎,1-2周
巨舌,10--21天
血小板型假性血管性血友病,1-3个月
反应性关节炎,2-4月
继发性肺结核,1-3个月
血友病乙,3-6月
疱疹样脓疱病,治疗周期14天
巨吻棘头虫病,1-3个月
巨细胞病毒病,1-3个月
皮肤平滑肌瘤,2-4周
甲醛中毒,7天左右
寻常痤疮,3-6个月
皮炎芽生菌,1个月
巨细胞病毒性葡萄膜炎,7--14天
良性脑瘤,1-3个月
巨细胞动脉炎性巩膜炎,15-30天
鼻后滴漏综合症,1-3个月
寻常狼疮,2-6月
皮脂囊肿病,7天
绝经,20天
鼻腔癌,1-3个月
寻常性鱼鳞病,3个月
皮脂腺上皮瘤,3-5个月
绝经后骨质疏松,2-4周
鼻腔囊肿,一周
脾脏原发性恶性肿瘤,3-6个月
绝经后卵巢恶性肿瘤,3-6个月左右
寻常疣,治疗周期30天
偏执状态,3-6个月
绝经后子宫颈癌,3-6个月
慢性鼻咽炎,1月
蕈样真菌病,3个月
平滑肌错构瘤,3-4个月
绝经后子宫内膜癌,3-6个月
匍行性血管瘤,3个月
慢性非萎缩性胃炎,1-2个月
绝经期关节炎,6-9个月
蕈样真菌病和Sezary综合征,30天
葡萄球菌肺炎,7-21天
脱髓鞘,1-3个月
绝经期尿路感染,7-10天
幼年型关节强硬性脊椎炎,幼年强直性脊柱炎呈迁延过程，需长期治疗
气虚血瘀证,3-6个月
绝经期尿失禁,1-2年
支气管发育不全,国内正规治疗周期为20天
葡萄球菌性食物中毒,1-7天
耳石症,一周
葡萄球菌中毒性休克综合征,4-6周
外阴鳞状上皮细胞增生,1-2周
绝经期盆腔脏器脱垂,15-30天
Q热肺炎,3-6周
绝经期乳腺癌,3-6个月左右
结节性液化性脂膜炎,2-6周
脐尿管瘘,1个月
绝经与阿尔茨海默病综合征,1-6个月
气虚自汗,7-14天
脐膨出,7-14天
绝经与心血管疾病,1-2年
压力性尿失禁,2-4周
萎缩性胆囊炎,1-2个月
脐膨出-巨舌-巨体综合征,3个月
绝经与抑郁症,3-6个月
亚急性联合变性,3-6个月
肝脾湿热,1-3个月
髂腹股沟神经干痛,2-4周
军刀综合征,1-3个月
亚急性皮肤红斑狼疮,需要终身治疗
前房积血与青光眼,10-90天
侵袭性指趾乳头状腺癌,1-3个月
神经棘红细胞增多症,3个月
前庭神经元炎,2周-1个月
亚急性硬化性全脑炎,1-3年内死亡
萎缩侧索硬化,1-3个月
亚急性硬膜外血肿,1-2个月
轻链病与轻链沉积病,3-6个月
Kimura病,1-3个月
亚临床甲状腺功能减退症,1-3个月
嵌杯样病毒胃肠炎,1年
下焦湿热,7--14天
骶髂关节扭伤或半脱位,3-6个月
亚临床甲状腺功能亢进,1-3个月（替代治疗需维持用药）
强直性脊柱炎及其伴发的葡萄膜炎,3-5月
气阴两虚,7-30天
卡普兰综合征,3-6个月
亚临床型克汀病,3-6月
切口疝,3-6周
滑膜囊肿,1-3个月
烟雾病,3-5个月
卡氏肺孢子虫肺炎,10天-6个月
青霉病,1-3个月
延髓性麻痹,1-3个月
卡氏肺囊虫病,1-3个月
胃肠湿热,1-2个月
大汗腺癌,1-2年
卡他莫拉菌感染,3个月
外阴上皮内瘤样病变,1-2周
严重肝病引起获得性凝血因子异常,1-3个月
球形肺炎,14天
胃柿石,1-2周
屈光参差,手术治疗3-6个月（需长期佩戴眼镜）
严重急性呼吸综合征,1-2周
康诺尔立克次体斑疹热,2个月
膝关节骨刺,1-2个月
躯体感觉障碍,3-5个月
言语障碍,3-6个月
糠秕孢子菌毛囊炎,1-3个月
肝气不舒,1-3个月
岩骨斜坡脑膜瘤,2-4月
躯体形式障碍,3个月
抗活化的蛋白C症,终身治疗
醛固酮缺乏症,终身间歇性对症治疗
黄疸性肝炎,3-6个月
岩藻糖苷贮积症,终身治疗
抗菌药中毒性肾病,1-3个月
纤维化综合征,3个月
反流性喉炎,一周
抗利尿激素分泌异常综合征,终身治疗控制症状发生
炎性肠病性关节炎相关巩膜炎,8-12周
Rh血型不合,1-2个月
蛋白质缺乏症,15—30天
炎性乳腺癌,1-3个月
抗磷脂抗体综合征,2-4个月
人工关节置换术后关节感染,3个月
炎症后弹力纤维松解伴皮肤松弛,3个月
肛门息肉,15-30天
抗体免疫缺陷病,一个月
人乳头瘤病毒感染,14天
儿童白斑,需长期治疗
抗胰蛋白酶缺乏症,3--6个月
融合性网状乳头瘤病,1-3年
肺癌骨转移,一个月
考登病中的多发性毛鞘瘤,3个月
炎症后黑变病,2-4月
膝关节退行性病变,1-2个月
柯莱斯骨折,3-6月
炎症相关性青光眼,1-3年
炎症性肠道疾病及其伴发的葡萄膜炎,3个月
滴虫性包皮龟头炎,7-14天
炎症性腹主动脉瘤,3-6月
柯萨奇病毒感染,1-3周
乳房猪囊尾蚴病,3-6个月
盐敏感性高血压,2--6个月
乳糜腹,4-8周
眼部神经纤维瘤病,7-14天
科干综合征,2个月
乳头皲裂,7天
科罗拉多蜱热,21天
眼部猪囊尾蚴病,2-4周
化脓性扁桃体炎,7天左右
乳头状小汗腺腺瘤,3-6周
颗粒细胞瘤,1-2个月
眼底血管样条纹,1-3个月
肺癌脑转移,一个月
乳腺湿疹样癌,30天
咳嗽性哮喘,3-6个月
眼弓蛔虫病,1-3个月
黄体萎缩不全,15-30天
乳腺脂肪肉瘤,1-2月
咳嗽晕厥综合征,3-6个月
眼弓形体病,14--30天
黄体血肿,7-10天
克里格勒-纳贾尔综合征,1-3个月
眼肌麻痹性偏头痛,3--6周
乳溢-闭经综合征,3个月
子宫纵隔,1-2周
肺部真菌感染,2-3周
眼假组织胞质菌病综合征,1--3个月
克里米亚-刚果出血热,14--30天
眼睑基底细胞癌,3个月
甲状腺肿瘤,2-3个月
弱智,3-5年
克罗伊茨费尔特-雅各布病,1年
头部脂溢性皮炎,1-3个月
Ⅳ型肾小管性酸中毒,3-6月
空鞍综合征,3个月
许莫氏结节,1-3个月
鳃裂囊肿和瘘管,2-4周
眼睑痉挛-口下颏部肌张力障碍,3个月
色素沉着绒毛结节性滑膜炎,1-2个月
空肠、回肠憩室,1-3个月
前列腺病,依据不同病情，治疗周期不同
眼眶淀粉样变性,3-6月
空肠弯曲菌肠炎,7-14天
色素失调症,1-2个月
间歇性精神病,3-6个月
眼眶非霍奇金恶性淋巴瘤,3个月-5年
上颈椎不稳症,3-6个月
空气栓塞,1-3个月
上皮样血管内皮细胞瘤,3-6个月
眼眶非霍奇金恶性淋巴肿瘤,3-6个月
上肢深静脉血栓形成,2～3个月
眼眶蜂窝织炎,14天
口腔黏膜白斑,3-6个月
血稠,1-3个月
眼眶骨化纤维瘤,3-6周
血毒,3-6个月
少枝胶质细胞瘤及间变少枝胶质细胞瘤,2-4个月
口形红细胞增多症,1-3月
眼眶骨瘤,1-3个月
舌下神经损伤,3个月
眼眶骨纤维异常增殖症,30天
髋关节后脱位,1-3个月
血管性头痛,2-3个月
眼眶畸胎瘤,3-6周
舌咽神经损伤,3-6个月
眶骨髓炎,3-6个月
肺结节,一周
眼眶寄生虫囊肿,15天
社会获得性肺炎,1-2周
浆膜下肌瘤,2-6周
眶内纤维组织细胞瘤,周期一般3-6个月恢复
眼眶淋巴管瘤,3个月
风湿免疫病,一周
眼眶内海绵状血管瘤,6-12个月
溃疡病穿孔,3-6个月
砷化氢引起的溶血性贫血,1--3月
血瘀体质,1-2个月
溃疡坏死性口炎,7天
神经莱姆病,3个月
结肠腺癌,3-6个月
眼眶内静脉曲张,1-3月
溃疡性皮肤结核,2--6个月
混合型阴道炎,15-30天
神经肽性肢端感觉异常,2周-1个月
眼眶脑膜-脑膨出,3-8周
神经系统副肿瘤综合征,3个月
腰椎结核,3-6个月
眼眶黏液囊肿,2--8周
神经纤维瘤病,3-7个月
子宫囊肿,1-3个月
眼眶脓肿,治疗周期在20-40天
扩张孔,1-2周
神经性肌强直,3个月
眼眶皮样囊肿,7天
纳氏囊肿,7-10天
橄榄体脑桥小脑萎缩,3个月
神经源性角膜炎,3个月
眼眶平滑肌瘤,3-5周
浸润性乳腺癌,3-6个月
骨淋巴管瘤,3-6月
眼眶神经纤维瘤,10-30天
肾皮质化脓性感染,3-6周
拉福拉病,2-4月
眼眶嗜酸性肉芽肿,3个月
肾盏憩室,1-2个月
解脲支原体感染,2周
眼眶纤维肉瘤,1-3年
生长期脱发,2-4月
脑囊肿,2-4周
眼眶血管外皮瘤,4-8周
石棉肺,3个月
拉沙热,1-3个月
脑神经损伤,4-8周
食管源性胸痛,30天
拉休尤-格拉哈姆-利特尔综合征,1-2年
眼眶血肿,2-4周
乙状结肠癌,3-6个月
眼眶炎性假瘤,1-3个月
内湿,1-3个月
视神经脊髓炎,14--30天
眼眶真菌病,10-15天
桡骨骨折,3-6个月
室管膜肿瘤,6-12个月
蜡样芽孢杆菌食物中毒,治疗周期7天
眼眶脂肪瘤,2-3周
嗜酸粒细胞增多症,3个月
早孕,7-14天
眼眶脂肪肉瘤,5-7天
莱姆心脏炎,3--8周
嗜酸性粒细胞白血病,1-4个月
阴茎淋巴管炎,1-2周
莱特雷尔-西韦病,终身间歇性治疗
眼眶转移性肿瘤,2-4年
嗜血流感杆菌的皮肤感染,2-3周
嗜血细胞综合症,3-6个月
眼类肉瘤病,1--6个月
赖利-戴综合征,10-30天
手部屈指肌腱损伤,10-30天
眼颧部褐蓝痣,1-2年
阴茎珍珠疹,无需治疗
手指屈肌腱鞘炎,10-30天
眼外肌病及弱视,6-24月
疣状胃炎,1-2个月
书写痉挛,30天
眼外肌发育不全,4-8周
小叶增生,数月-数年
赖氏综合征,3-6个月
眼外肌广泛纤维化综合征,3个月
外阴赘生物,90天
输血后血小板减少性紫癜,30天
眼外肌外伤,2周--4周
赖特综合征,1-3年
心血不足,1-2个月
斯蒂尔病,3个月
兰伯特-伊顿综合征,3个月
眼外肌猪囊尾蚴病,1-3个月
链球菌感染,1-2个月
松毛虫性骨关节炎,3-6个月
眼异物伤,7-30天
阑尾腺癌,3-6个月
瘘疮,4-8周
瘫痪,1-3个月
厌氧菌肺炎,1个月
阑尾肿瘤,3-6个月
鼻咽炎,1-2周
特发性股骨头坏死,3～5年（病情重者需要长期康复治疗）
懒惰白细胞综合征,3个月
新生儿脑瘫,需长期治疗
朗汉斯细胞的组织细胞增多症,3个月
特发性黄斑部前膜,2-8周
老年癌症病人的急性感染,10-20天
胸椎骨折,1-3个月
羊膜腔感染综合征,1-3月
特发性面神经瘫痪,1-3个月
老年斑,需要终身间歇性治疗
龟头珍珠疹,1-2周
痒点,3-5天
疼痛性眼肌麻痹,1-3个月
痒性紫癜,2--6周
过敏性皮肤病,1-2周
老年便秘,2-5周
体癣,7-14天
恙螨皮炎,1-3个月
老年低温症,1-3个月
头皮糠疹,1-2个月
胸椎小关节紊乱症,1-2个月
腰骶部脂肪疝,7-21天
轻度脂肪肝,3-6个月
老年跌倒,3-6个月左右
密集恐惧症,1-3个月
透析性骨关节病,3-6个月
老年急性动脉栓塞,1个月
土肥对称性肢端色素沉着症,1-2个月
过敏性荨麻疹,1-2周
腰痛-血尿综合征,2--6周
老年静脉血栓症,3-6个月
吞入异物,1-2月
寒冷性荨麻疹,1-2周
腰椎小关节不稳症,3-5月
老年久病卧床,需要终身强化护理
B疱疹病毒感染,3-7周
皮肤疣,3-6周
腰椎椎管狭窄症,15-30天
老年挛缩,82天
Whitfield硬红斑,3-6个月
肌筋膜炎,1-3个月
老年男性性功能障碍,3-6个月
药物反应性甲病,40天
外伤相关性青光眼,7-21天
深海恐惧症,3-6个月
药物免疫性血小板减少性紫癜,1-3个月
外伤性胆管损伤,手术治疗5-8周（T形管一般放置6个月～1年）
梅杰综合症,需要长期治疗
药物相关性免疫性溶血性贫血,4-8周
外伤性腹膜后出血或血肿,14-30天
急性肠梗阻,1-2周
老年女性膀胱颈梗阻,3-6个月
药物相关性青光眼,2-4周
外伤性脑积水,1-3个月
老年期谵妄,3-6个月
皮下脂肪瘤,根据不同医院，收费标准不一致，市三甲医院约（1000——4000元)
药物性狼疮,2--5周
外伤性脂肪坏死,2-4月
老年人白细胞减少症和粒细胞缺乏症,3个月
夜间哮喘,1-4个月
淋巴结结节病,一个月
外阴表皮内瘤变,3-6个月
老年人败血症,3-6个月
一度房室传导阻滞,2-4月
热性荨麻疹,3-6周
老年人膀胱癌,3-6个月
外阴瘙痒症,7-14天
伊藤痣,7--14天
脂溢性脱发,3-6个月
外源性变应性肺泡炎,3个月
老年人变异型心绞痛,需要终身治疗
衣原体尿路感染,两周至两个月
幽闭空间恐惧症,3-6月
老年人病毒性肝炎,一般3-6月，抗病毒治疗疗程数年
网膜扭转,1-3月
医用药物中毒所致的精神障碍,2-4月
手干裂,1-2月
老年人病态窦房结综合征,1-2个月
纹状体黑质变性,1-3个月
医源性胆管损伤,3-5周
新生儿湿疹,1个月左右
老年人播散性血管内凝血,7天
无菌性肋软骨炎,14天
医源性多毛症,1-3个月
肠道寄生虫病,1-4周
X联锁鱼鳞病,7-14天
医源性气管及主支气管损伤,2-4周
增生性疤痕,1-3个月
全身性红斑狼疮,1-3个月
老年人不稳定型心绞痛,终身用药
胰高糖素瘤综合征,1-2个月
小儿咽喉炎,7-14天
细菌性角膜炎,2周
老年人肠易激综合征,7-10天
胰高血糖素瘤,3-6个月
手足心热,7-14天
下部附加前根脊髓动脉缺血症候群,3个月
老年人垂体瘤,10-30天
胰瘘,3-6个月
中度脂肪肝,3-6个月
下颌下间隙感染,2-4周
老年人大肠肿瘤,病期不同治疗周期不同
胰石病,8-12周
重度脂肪肝,3-6个月
先天性白血病,化疗1-6月
老年人代谢性碱中毒,7-14天
手腕扭伤,2-4周
胰腺假囊肿,1-2个月
先天性肠旋转不良,2-4周
老年人代谢性酸中毒,1-2个月
脑炎,3-7周
胰腺囊性纤维性变,2-4周
先天性尺桡骨性连接,2-4周
老年人单纯疱疹病毒性脑炎,1-3个月
急性肝病,1-3个月
先天性纯红细胞再生障碍性贫血,1-3个月
老年人胆囊癌,手术治疗周期1-3个月
先天性胆管囊状扩张,15-30天或更长时间
老年人胆囊炎,10-15天
埃布斯坦综合征,2-4周
胰腺真性囊肿,1-3个月
五更泻,1-2周
老年人胆石症,14天
先天性高弓足,7-14天
移行脊椎,3-6个月
慢性肝病,1-3个月
老年人低钙血症,1-3个月
先天性冠状动脉瘘,1-3个月
移植后淋巴增殖性疾病,3-6个月
风寒,5-7天
老年人低钾血症,2-3天
先天性红细胞生成异常性贫血,3个月
移植物抗宿主病,1-2个月
尘螨过敏,1～4月
先天性静脉畸形肢体肥大综合征,3-10周
遗传性蛋白S缺陷症,1-3个月
老年人低钠血症,1个月
高度近视,不可治愈
先天性髋关节脱位,90天
老年人低血糖昏迷,2-4周
遗传性对称性色素异常症,3-6个月
外向孤独症,1-2年
先天性卵巢发育不全,1-6个月
老年人低血糖症,1-3个月
遗传性多发脑梗死性痴呆,1-3个月
先天性肾病综合征,6-12个月
老年人低血压,需长期治疗
遗传性多发性骨软骨瘤,1个月
眩晕症,2个月
先天性十二指肠闭锁,1-2个月
老年人短暂性大脑缺血性发作,1-3个月
丝状疣,2-4周
遗传性耳瘘,手术治疗周期7天
老年人多发性骨髓瘤,一般6个周期
先天性视网膜劈裂症,1-3年
急性阴道炎,1-3月
老年人多器官功能衰竭,3-6个月
先天性胃壁肌层缺损,3-6个月
念珠菌性包皮龟头炎,1-2周
先天性小眼球合并眼眶囊肿,1-2年
遗传性粪卟啉病,3个月
甲状腺结节钙化,2-4周
老年人恶性心包积液,终身间歇性对症治疗
先天性血管瘤,3-6周
遗传性感觉神经病,对症治疗为主，无法彻底根治
耳神经痛,2-4个月
先天性远端尺桡关节半脱位,6-12周
老年人非霍奇金恶性淋巴肿瘤,3-6个月
遗传性高尿酸血症,3个月
甲状腺弥漫性病变,3--8周
先天性跖骨内收畸形,3-6个月
遗传性高铁血红蛋白血症,终身对症治疗
老年人肥厚型心肌病,终身治疗
甲状腺乳头癌,1-3个月
老年人肥胖症,1-3个月
遗传性抗凝血酶Ⅲ缺乏症,3-6月
纤维肌痛综合征,4-8周
前庭功能紊乱,1-4周
遗传性良性上皮内角化不良,1-2个月
老年人肺癌,一般手术治疗需要15-30天周期
筛窦炎,30天
